blind_id,axis,axis_disposition,confidence,one_sentence_reason
C12,M_MECHANISTIC,NOT_CLAIMED,HIGH,The packet makes no positive claim on this axis.
C13,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C13,F_FORMAL,BLOCKED,MEDIUM,No local failure overrides the missing closed-book evidence required for qualification.
C13,M_MECHANISTIC,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C14,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C14,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C14,M_MECHANISTIC,NOT_CLAIMED,HIGH,The packet makes no positive claim on this axis.
C15,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C15,F_FORMAL,BLOCKED,MEDIUM,No local failure overrides the missing closed-book evidence required for qualification.
C15,M_MECHANISTIC,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C16,S_STRUCTURAL,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C16,F_FORMAL,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C16,M_MECHANISTIC,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C17,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C17,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C17,M_MECHANISTIC,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C17,P_PREDICTIVE,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C17,V_VALIDATED,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C18,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C18,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C18,M_MECHANISTIC,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C19,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C19,F_FORMAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C19,M_MECHANISTIC,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C19,P_PREDICTIVE,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C19,V_VALIDATED,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C20,S_STRUCTURAL,SUPPORTED,HIGH,All active local obligations pass and required dependencies are supported.
C20,F_FORMAL,FAILED,HIGH,At least one active local obligation fails on packet evidence.
C20,M_MECHANISTIC,FAILED,HIGH,At least one active local obligation fails on packet evidence.
