case_id,bucket,title,source_domain,target_domain,proposed_claim,claimed_level,gold_max_level,primary_pass,primary_fail,illegal_codes,rationale,reference
I01,seductive_invalid,Solar system → classical atom,celestial mechanics,atomic physics,"Because planets orbit a central mass and electrons are attracted to a nucleus, use classical planetary orbits as the physical mechanism of stable atoms.",L3_MECHANISTIC,L1_STRUCTURAL,"PO01,PO02,PO03 at limited relational level","PO04,PO07,PO08,PO09,PO11",IA07_REGIME_EXTRAPOLATION;IA08_MECHANISM_SMUGGLING;IA12_EMPIRICAL_COLLISION;IA13_ONTOLOGICAL_IDENTITY_ERROR,"A limited center–orbit analogy exists, but classical electrodynamics and quantum evidence block the mechanistic promotion.",Canonical Bohr/quantum transition; used as a benchmark anti-example.
I02,seductive_invalid,Electrostatic shielding → gravitational Faraday cage,electromagnetism,gravitation,Weak-field gravity has equations reminiscent of electromagnetism; therefore a conducting shell should shield a gravitational field like a Faraday cage shields electrostatics.,L3_MECHANISTIC,L2_FORMAL,PO03 only within bounded weak-field formal analogy,"PO02,PO08,PO09,PO11",IA02_TYPE_ROLE_MISMATCH;IA08_MECHANISM_SMUGGLING;IA10_INVARIANT_CONSERVATION_VIOLATION;IA12_EMPIRICAL_COLLISION,Formal gravitoelectromagnetic analogies do not supply electric-charge sign structure or conductor rearrangement that produces electrostatic shielding.,Weak-field GR / gravitoelectromagnetism benchmark case.
I03,seductive_invalid,Shannon entropy → intrinsic energy per bit,information theory,thermodynamics,"Because Shannon entropy and thermodynamic entropy share a mathematical form, every stored bit intrinsically contains kT ln 2 of recoverable thermal energy.",L3_MECHANISTIC,L2_FORMAL,PO03 formal relation correspondence,"PO02,PO08,PO10,PO11",IA08_MECHANISM_SMUGGLING;IA11_PARAMETER_SMUGGLING;IA13_ONTOLOGICAL_IDENTITY_ERROR,"Information entropy and thermodynamic entropy can be linked in physical information processing, but Landauer-type energetic costs concern physical operations/implementations, not an automatic energy substance stored in an abstract bit.",Shannon information theory; Landauer principle used to distinguish formal and physical claims.
I04,seductive_invalid,Fluid vortex → literal electron vortex,fluid dynamics,particle physics,"Stable vortices persist in fluids, therefore electrons are literally tiny vortices in a hidden mechanical medium and inherit vortex mechanics.",L3_MECHANISTIC,L1_STRUCTURAL,PO03 for selected topology metaphor only,"PO00,PO08,PO09,PO11,PO14",IA08_MECHANISM_SMUGGLING;IA12_EMPIRICAL_COLLISION;IA13_ONTOLOGICAL_IDENTITY_ERROR;IA14_NONFALSIFIABLE_ESCALATION,A topological analogy does not establish a hidden medium or particle mechanism; target evidence and mechanism are missing.,Historical vortex-atom style ideas as an anti-example.
I05,seductive_invalid,Software code → genetic code as executable program semantics,software engineering,molecular genetics,"DNA is called code, therefore genes execute like software instructions with programmer-defined semantics and mutations should be analyzed as software bugs.",L3_MECHANISTIC,L1_STRUCTURAL,PO01 at communication metaphor level,"PO02,PO03,PO08,PO11",IA01_LEXICAL_SUBSTITUTION;IA02_TYPE_ROLE_MISMATCH;IA08_MECHANISM_SMUGGLING;IA13_ONTOLOGICAL_IDENTITY_ERROR,"Both domains use symbolic sequences, but biochemical regulation, development, redundancy, context, and causation do not preserve ordinary software execution semantics.",Benchmark constructed from common public analogy.
I06,seductive_invalid,Quantum tunneling → human choice mechanism,quantum mechanics,cognitive psychology,"People sometimes cross psychological barriers unexpectedly, so quantum tunneling is the physical mechanism by which decisions escape local mental minima.",L3_MECHANISTIC,L0_HEURISTIC,,"PO02,PO03,PO08,PO11,PO14",IA01_LEXICAL_SUBSTITUTION;IA02_TYPE_ROLE_MISMATCH;IA08_MECHANISM_SMUGGLING;IA14_NONFALSIFIABLE_ESCALATION,The shared word “barrier” and landscape imagery do not provide a preserved quantum relation or a biophysical tunneling mechanism for cognition.,Synthetic benchmark anti-example.
I07,seductive_invalid,Artificial neural network → literal biological-brain mechanism,machine learning,neuroscience,"A transformer or artificial neural network learns useful representations, therefore its internal units and attention mechanisms are the same causal mechanism used by biological brains.",L3_MECHANISTIC,L1_STRUCTURAL,PO03 for limited distributed-computation analogies,"PO02,PO06,PO07,PO08,PO11",IA02_TYPE_ROLE_MISMATCH;IA06_ASSUMPTION_LAUNDERING;IA08_MECHANISM_SMUGGLING;IA13_ONTOLOGICAL_IDENTITY_ERROR,Functional similarity or shared optimization language does not establish biological mechanistic identity.,Synthetic benchmark based on common AI/neuroscience overclaim.
I08,seductive_invalid,SIR epidemic model → exact meme contagion biology,infectious-disease epidemiology,social-information diffusion,"Because posts spread through social contact, reuse an SIR model unchanged and interpret reshares as infections, non-sharing as immunity, and the fitted R0 as a biological-style reproduction constant.",L3_MECHANISTIC,L2_FORMAL,"PO03,PO04 if explicitly treated as a formal compartment model","PO06,PO07,PO08,PO10,PO11",IA06_ASSUMPTION_LAUNDERING;IA07_REGIME_EXTRAPOLATION;IA08_MECHANISM_SMUGGLING;IA11_PARAMETER_SMUGGLING,"Compartment equations may be useful target models, but recovery, immunity, contact structure, repeated exposure, and incentives differ and must be redefined/validated.",Synthetic benchmark representing common computational-social-science model transfer.
I09,seductive_invalid,Acoustic horizon → full astrophysical black hole,analogue acoustics,general relativity / black-hole physics,"A sonic horizon reproduces horizon-like wave kinematics, therefore the laboratory fluid is physically equivalent to an astrophysical black hole and tests the full Einstein gravitational dynamics.",L3_MECHANISTIC,L2_FORMAL,"PO03,PO04 for bounded kinematic analogy","PO08,PO09,PO11",IA08_MECHANISM_SMUGGLING;IA13_ONTOLOGICAL_IDENTITY_ERROR,Analogue-gravity systems can reproduce selected effective-metric or horizon kinematics without reproducing the full dynamical field equations or gravitational source structure.,Analogue-gravity benchmark case.
I10,seductive_invalid,Thermodynamic equilibrium → market equilibrium as physical law,equilibrium thermodynamics,economics,"Markets have equilibria, so prices and trades should obey thermodynamic temperature, energy conservation, and entropy production as literal physical state laws.",L3_MECHANISTIC,L1_STRUCTURAL,"PO01,PO03 only for selected optimization/statistical analogies","PO02,PO05,PO08,PO09,PO10,PO11",IA02_TYPE_ROLE_MISMATCH;IA05_DIMENSIONAL_ERROR;IA08_MECHANISM_SMUGGLING;IA10_INVARIANT_CONSERVATION_VIOLATION;IA13_ONTOLOGICAL_IDENTITY_ERROR,"Mathematical methods from statistical mechanics can model economic data, but that does not make money physical energy or market clearing thermodynamic equilibrium.",Synthetic benchmark anti-example.
